rank,title,year,topic_cluster,problem_claimed,mechanism_introduced,hidden_assumptions,variables_fixed,failure_modes_ignored,what_makes_less_novel,what_leaves_open,url
124,Motor Imagery Based Continuous Teleoperation Robot Control with Tactile Feedback,2020,multimodal physical perception,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations. Tactile/contact cues may expose aliases that vision-language tokens miss.,https://doi.org/10.3390/electronics9010174
125,"Unified-IO 2: Scaling Autoregressive Multimodal Models with Vision, Language, Audio, and Action",2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1109/cvpr52733.2024.02497
126,Vision AI-based human-robot collaborative assembly driven by autonomous robots,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1016/j.cirp.2024.03.004
127,Diffusion Model-Based Path Follower for a Salamander-Like Robot,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/tnnls.2025.3549307
128,Robotic Continuous Grasping System by Shape Transformer-Guided Multiobject Category-Level 6-D Pose Estimation,2023,multimodal physical perception,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/tii.2023.3244348
129,Bayesian Gaussian Mixture Model for Robotic Policy Imitation,2019,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment. - Uncertainty estimates are calibrated after representation collapse.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/lra.2019.2932610
130,Beyond Sight: Finetuning Generalist Robot Policies with Heterogeneous Sensors via Language Grounding,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/icra55743.2025.11127987
131,PrimitiveVLA: Learning Reusable Motion Primitives for Efficient and Generalizable Robotic Manipulation,2026,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://arxiv.org/abs/2605.28634
132,BAKU: An Efficient Transformer for Multi-Task Policy Learning,2024,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,http://arxiv.org/abs/2406.07539
133,Closed-Loop Visuomotor Control with Generative Expectation for Robotic Manipulation,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2409.09016
134,Variable Impedance Skill Learning for Contact-Rich Manipulation,2022,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/lra.2022.3187276
135,VTLA: Vision-Tactile-Language-Action model with preference learning for insertion manipulation,2026,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them. Tactile/contact cues may expose aliases that vision-language tokens miss.,https://doi.org/10.1016/j.birob.2026.100333
136,RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2410.07864
137,ReBot: Scaling Robot Learning with Real-to-Sim-to-Real Robotic Video Synthesis,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.1109/iros60139.2025.11246305
138,Diffusion Trajectory-Guided Policy for Long-Horizon Robot Manipulation,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/lra.2025.3619794
139,Zero-Shot Sim-to-Real Transfer of Tactile Control Policies for Aggressive Swing-Up Manipulation,2021,multimodal physical perception,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations. Tactile/contact cues may expose aliases that vision-language tokens miss.,https://doi.org/10.1109/lra.2021.3084880
140,PaLM-E: An Embodied Multimodal Language Model,2023,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,http://arxiv.org/abs/2303.03378
141,3D Diffuser Actor: Policy Diffusion with 3D Scene Representations,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2402.10885
142,Toward Enhanced Teleoperation Through Embodiment,2020,multimodal physical perception,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.3389/frobt.2020.00014
143,Policy search for motor primitives in robotics,2010,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1007/s10994-010-5223-6
144,Beyond Sight: Finetuning Generalist Robot Policies with Heterogeneous Sensors via Language Grounding,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2501.04693
145,Language Understanding for Field and Service Robots in a Priori Unknown Environments,2022,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.55417/fr.2022040
146,Generalizable Humanoid Manipulation with 3D Diffusion Policies,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/iros60139.2025.11246340
147,LLaRA: Supercharging Robot Learning Data for Vision-Language Policy,2024,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2406.20095
148,Implicit Kinematic Policies: Unifying Joint and Cartesian Action Spaces in End-to-End Robot Learning,2022,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/icra46639.2022.9812165
149,RLDG: Robotic Generalist Policy Distillation via Reinforcement Learning,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.15607/rss.2025.xxi.028
150,KALIE: Fine-Tuning Vision-Language Models for Open-World Manipulation without Robot Data,2024,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,http://arxiv.org/abs/2409.14066
151,Object-Centric Instruction Augmentation for Robotic Manipulation,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1109/icra57147.2024.10609992
152,Hierarchical Diffusion Policy for Kinematics-Aware Multi-Task Robotic Manipulation,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/cvpr52733.2024.01712
153,A Survey on Vision–Language–Action Models for Embodied AI,2026,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.1109/tnnls.2025.3650584
154,ChatGPT Empowered Long-Step Robot Control in Various Environments: A Case Application,2023,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1109/access.2023.3310935
155,Spatial Action Maps for Mobile Manipulation,2020,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.15607/rss.2020.xvi.035
156,Semantically Grounded Object Matching for Robust Robotic Scene Rearrangement,2022,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1109/icra46639.2022.9811817
157,Next‐generation human‐robot interaction with ChatGPT and robot operating system,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1002/spe.3377
158,Instruction-driven history-aware policies for robotic manipulations,2022,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,http://arxiv.org/abs/2209.04899
159,A Deep Learning Approach to Grasping the Invisible,2020,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/lra.2020.2970622
160,GPT-4V(ision) for Robotics: Multimodal Task Planning From Human Demonstration,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1109/lra.2024.3477090
161,ViNT: A Foundation Model for Visual Navigation,2023,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2306.14846
